,民國110年03月,,,,,,,March 2021,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月底收盤價,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),End-of-,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,Month,Price of,Date of,Price of,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Closing,Monthly,Monthly,Monthly,Monthly,Turnover
,,,,(Note 1),(Note 2),Price,High,High,Low,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1776   展宇,"11,071,479","666,393",446,16.61,16.49,16.90,17.30,03/26,16.15,03/15,0.95
3708   上緯投控,"4,541,970,491","31,764,220","27,607",142.99,141.52,138.00,154.00,03/04,133.00,03/26,33.97
4720   德淵,"196,468,755","12,232,339","5,688",16.06,15.95,16.10,16.70,03/24,15.20,03/09,13.68
4722   國精化,"937,519,574","28,496,806","8,896",32.90,33.06,34.25,34.65,03/31,30.20,03/09,28.49
4739   康普,"1,745,378,688","24,075,718","18,364",72.50,71.78,76.60,77.30,03/31,68.50,03/03,23.37
4755   三福化,"170,844,054","2,655,491","2,158",64.34,64.02,65.90,66.10,03/31,62.20,03/05,2.64
4763   材料-KY,"729,317,788","5,522,290","4,599",132.07,131.68,132.50,136.50,03/22,123.00,03/03,10.81
4764   雙鍵,"46,461,849","727,375",655,63.88,64.00,63.50,67.00,03/02,61.20,03/19,0.96
4766   南寶,"359,063,415","2,239,913","1,998",160.30,160.50,160.00,165.00,03/26,155.00,03/10,1.86
22 生技醫療類,,,,,,,,,,,
Biotechnology & Medical Care,,,,,,,,,,,
1598   岱宇,"8,477,056,298","74,032,940","47,445",114.50,111.68,119.00,127.50,03/30,98.60,03/09,55.81
